run,true # of communities,predicted # of communities,accuracy,ari,nmi
4,18,17,0.959,0.967532272,0.989627418
18,19,19,1,1,1
17,19,19,1,1,1
2,19,19,1,1,1
10,18,18,1,1,1
16,19,19,1,1,1
3,18,18,1,1,1
13,18,17,0.951,0.949739123,0.987109955
19,19,19,1,1,1
14,19,19,1,1,1
11,19,19,1,1,1
8,18,18,1,1,1
7,18,17,0.958,0.951930808,0.987449347
15,17,17,1,1,1
12,19,19,1,1,1
1,18,18,1,1,1
24,19,18,0.955,0.949848187,0.987572481
27,18,18,1,1,1
28,18,18,1,1,1
5,18,17,0.957,0.95263214,0.987586495
20,18,18,1,1,1
26,18,18,1,1,1
30,18,18,1,1,1
41,19,19,1,1,1
29,19,19,1,1,1
6,19,18,0.956,0.95194646,0.988072818
42,18,18,1,1,1
31,19,19,1,1,1
9,17,18,1,1,1
32,17,17,1,1,1
43,18,18,1,1,1
37,19,19,1,1,1
23,18,18,1,1,1
39,19,19,1,1,1
47,17,18,1,1,1
25,18,18,1,1,1
21,17,17,1,1,1
36,19,19,1,1,1
38,18,18,1,1,1
48,18,18,1,1,1
22,20,20,1,1,1
44,19,19,1,1,1
40,17,17,1,1,1
50,17,17,1,1,1
34,17,17,1,1,1
45,17,17,1,1,1
46,18,18,1,1,1
51,19,18,0.949,0.948081171,0.987579622
54,18,18,1,1,1
62,19,19,1,1,1
33,19,19,1,1,1
61,19,19,1,1,1
49,18,18,1,1,1
53,17,17,1,1,1
35,18,18,1,1,1
55,18,18,1,1,1
64,18,18,1,1,1
56,17,17,1,1,1
52,18,18,1,1,1
60,19,19,1,1,1
59,18,18,1,1,1
63,19,18,0.958,0.965231252,0.989845257
58,19,19,1,1,1
66,19,19,0.958,0.95916641,0.988947188
69,18,17,0.954,0.951639641,0.987301218
57,19,19,1,1,1
68,18,17,0.951,0.944466095,0.986485316
71,19,19,1,1,1
65,19,18,0.948,0.944619377,0.987089907
67,18,18,1,1,1
70,18,18,1,1,1
72,19,20,1,1,1
73,19,19,1,1,1
74,19,18,0.958,0.963935441,0.989597502
75,17,17,1,1,1
76,19,19,1,1,1
77,18,18,1,1,1
78,18,17,0.95,0.93906081,0.985832131
80,19,18,0.959,0.959730862,0.989103499
84,18,17,0.956,0.962853146,0.989051211
82,18,18,1,1,1
85,18,18,1,1,1
79,20,19,0.957,0.942188419,0.987532919
81,18,18,1,1,1
90,18,18,1,1,1
86,19,19,1,1,1
87,19,19,1,1,1
89,18,18,1,1,1
88,17,17,1,1,1
92,18,19,1,1,1
83,18,18,1,1,1
91,18,18,1,1,1
95,18,18,1,1,1
97,18,18,1,1,1
94,17,17,1,1,1
99,18,18,1,1,1
100,18,18,1,1,1
96,19,18,0.959,0.964234695,0.989754145
93,18,18,1,1,1
98,19,20,1,1,1
,,,,,
,,,,,0.997855384
