run,true # of comms,louvain # of pred comms,louvain accuracy,louvain ari,louvain nmi,infomap # of pred comms,infomap accuracy,infomap ari,infomap nmi,rbpots # of pred comms,rbpots accuracy,rbpots ari,rbpots nmi
1,17,17,1,1,1,17,1,1,1,17,1,1,1
2,19,19,1,1,1,19,1,1,1,19,1,1,1
3,18,18,1,1,1,18,1,1,1,18,1,1,1
4,19,19,1,1,1,19,1,1,1,19,1,1,1
5,18,18,1,1,1,18,1,1,1,18,1,1,1
6,17,17,1,1,1,17,1,1,1,17,1,1,1
7,18,18,1,1,1,18,1,1,1,18,1,1,1
8,16,16,1,1,1,16,1,1,1,16,1,1,1
9,18,18,1,1,1,17,0.945,0.93515487,0.985158902,18,1,1,1
10,18,18,1,1,1,18,1,1,1,18,1,1,1
11,19,19,1,1,1,19,1,1,1,19,1,1,1
12,18,18,1,1,1,18,1,1,1,18,1,1,1
13,18,18,1,1,1,18,1,1,1,18,1,1,1
14,17,17,1,1,1,17,1,1,1,17,1,1,1
15,19,18,0.948,0.948547907,0.987553436,19,1,1,1,19,1,1,1
16,18,18,1,1,1,18,1,1,1,18,1,1,1
17,18,18,1,1,1,18,1,1,1,18,1,1,1
18,17,17,1,1,1,17,1,1,1,17,1,1,1
19,19,19,1,1,1,19,1,1,1,19,1,1,1
20,18,18,1,1,1,18,1,1,1,18,1,1,1
21,19,19,1,1,1,19,1,1,1,19,1,1,1
22,19,19,1,1,1,19,1,1,1,19,1,1,1
23,17,17,1,1,1,17,1,1,1,17,1,1,1
24,17,17,1,1,1,17,1,1,1,17,1,1,1
25,18,18,1,1,1,18,1,1,1,18,1,1,1
26,18,18,1,1,1,18,1,1,1,18,1,1,1
27,18,18,1,1,1,18,1,1,1,18,1,1,1
28,19,19,1,1,1,19,1,1,1,19,1,1,1
29,18,18,1,1,1,18,1,1,1,18,1,1,1
30,18,18,1,1,1,18,1,1,1,18,1,1,1
31,18,18,1,1,1,18,1,1,1,18,1,1,1
32,18,18,1,1,1,18,1,1,1,18,1,1,1
33,19,19,1,1,1,19,1,1,1,19,1,1,1
34,18,18,1,1,1,18,1,1,1,18,1,1,1
35,18,18,1,1,1,18,1,1,1,18,1,1,1
36,18,18,1,1,1,18,1,1,1,18,1,1,1
37,19,19,1,1,1,19,1,1,1,19,1,1,1
38,19,19,1,1,1,19,1,1,1,19,1,1,1
39,19,19,1,1,1,19,1,1,1,19,1,1,1
40,20,20,1,1,1,20,1,1,1,20,1,1,1
41,18,18,1,1,1,18,1,1,1,18,1,1,1
42,16,16,1,1,1,16,1,1,1,16,1,1,1
43,18,18,1,1,1,18,1,1,1,18,1,1,1
44,17,17,1,1,1,17,1,1,1,17,1,1,1
45,18,18,1,1,1,18,1,1,1,18,1,1,1
46,17,17,1,1,1,17,1,1,1,17,1,1,1
47,19,19,1,1,1,19,1,1,1,19,1,1,1
48,18,18,1,1,1,18,1,1,1,18,1,1,1
49,19,19,1,1,1,19,1,1,1,19,1,1,1
50,19,19,1,1,1,19,1,1,1,19,1,1,1
51,18,18,1,1,1,18,1,1,1,18,1,1,1
52,18,18,1,1,1,18,1,1,1,18,1,1,1
53,19,19,1,1,1,19,1,1,1,19,1,1,1
54,20,20,1,1,1,20,1,1,1,20,1,1,1
55,17,17,1,1,1,17,1,1,1,17,1,1,1
56,17,17,1,1,1,17,1,1,1,17,1,1,1
57,18,18,1,1,1,18,1,1,1,18,1,1,1
58,18,18,1,1,1,18,1,1,1,18,1,1,1
59,19,19,1,1,1,19,1,1,1,19,1,1,1
60,18,18,1,1,1,18,1,1,1,18,1,1,1
61,18,18,1,1,1,18,1,1,1,18,1,1,1
62,18,17,0.95,0.940098512,0.985923247,18,1,1,1,18,1,1,1
63,17,17,1,1,1,17,1,1,1,17,1,1,1
64,18,18,1,1,1,18,1,1,1,18,1,1,1
65,18,18,1,1,1,18,1,1,1,18,1,1,1
66,18,17,0.943,0.931822719,0.984923724,18,1,1,1,18,1,1,1
67,19,19,1,1,1,19,1,1,1,19,1,1,1
68,18,18,1,1,1,18,1,1,1,18,1,1,1
69,19,19,1,1,1,19,1,1,1,19,1,1,1
70,17,17,1,1,1,17,1,1,1,17,1,1,1
71,19,18,0.95,0.939076262,0.98651634,19,1,1,1,19,1,1,1
72,19,19,1,1,1,19,1,1,1,19,1,1,1
73,18,18,1,1,1,18,1,1,1,18,1,1,1
74,18,18,1,1,1,18,1,1,1,18,1,1,1
75,18,18,1,1,1,18,1,1,1,18,1,1,1
76,19,19,1,1,1,19,1,1,1,19,1,1,1
77,18,18,1,1,1,18,1,1,1,18,1,1,1
78,17,17,1,1,1,17,1,1,1,17,1,1,1
79,17,17,1,1,1,17,1,1,1,17,1,1,1
80,19,19,1,1,1,19,1,1,1,19,1,1,1
81,18,18,1,1,1,18,1,1,1,18,1,1,1
82,19,19,1,1,1,19,1,1,1,19,1,1,1
83,18,18,1,1,1,18,1,1,1,18,1,1,1
84,18,18,1,1,1,18,1,1,1,18,1,1,1
85,18,18,1,1,1,18,1,1,1,18,1,1,1
86,17,17,1,1,1,17,1,1,1,17,1,1,1
87,17,17,1,1,1,17,1,1,1,17,1,1,1
88,19,19,1,1,1,19,1,1,1,19,1,1,1
89,18,18,1,1,1,18,1,1,1,18,1,1,1
90,18,18,1,1,1,18,1,1,1,18,1,1,1
91,19,19,1,1,1,19,1,1,1,19,1,1,1
92,18,18,1,1,1,18,1,1,1,18,1,1,1
93,18,18,1,1,1,18,1,1,1,18,1,1,1
94,19,19,1,1,1,19,1,1,1,19,1,1,1
95,19,19,1,1,1,19,1,1,1,19,1,1,1
96,19,18,0.958,0.965671996,0.989821944,19,1,1,1,19,1,1,1
97,19,19,1,1,1,19,1,1,1,19,1,1,1
98,17,17,1,1,1,17,1,1,1,17,1,1,1
99,19,19,1,1,1,19,1,1,1,19,1,1,1
100,19,19,1,1,1,19,1,1,1,19,1,1,1
,,,,,,,,,,,,,
,,,,,0.999347387,,,,0.999851589,,,,
